Software / Hosting Transactions,,,,,,,,,
ULearn Limited,,,,,,,,,
For the period 1 January 2017 to 31 December 2024,,,,,,,,,
,,,,,,,,,
Date,Source,Description,Reference,Currency,Debit (Source),Credit (Source),Debit (EUR),Credit (EUR),Running Balance (EUR)
,,,,,,,,,
Software / Hosting,,,,,,,,,
28 Feb 2017,Payable Invoice,Google - G Suite Basic,851309745600472-45,EUR,59.04,0.00,59.04,0.00,"1,734.93"
28 Feb 2017,Spend Money,CARD - Xero Subscription,,EUR,28.42,0.00,28.42,0.00,"1,763.35"
01 Mar 2017,Spend Money,Google,,EUR,1.99,0.00,1.99,0.00,"1,765.34"
02 Mar 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.57,0.00,0.57,0.00,"1,765.91"
02 Mar 2017,Spend Money,CARD - ToutApp - email sales,,EUR,28.38,0.00,28.38,0.00,"1,794.29"
03 Mar 2017,Spend Money,Google - Google Apps Bus,POS01MAR GOOGLE *SVCS,EUR,59.04,0.00,59.04,0.00,"1,853.33"
06 Mar 2017,Spend Money,Occulus - VR Trainer,,EUR,1.99,0.00,1.99,0.00,"1,855.32"
06 Mar 2017,Spend Money,CARD - Github - Git Repo,,EUR,6.67,0.00,6.67,0.00,"1,861.99"
06 Mar 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        7,EUR,0.13,0.00,0.13,0.00,"1,862.12"
08 Mar 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        5,EUR,0.09,0.00,0.09,0.00,"1,862.21"
08 Mar 2017,Spend Money,CARD - Github - Git Repo Hosting,,EUR,4.73,0.00,4.73,0.00,"1,866.94"
10 Mar 2017,Expense Claim,Neil Mc Mahon - Invoices from Cazoomi SyncApps were being paid by Neil accidentally - 37 total (filed in info@ulearn...com).  Total = €592 ,,EUR,592.00,0.00,592.00,0.00,"2,458.94"
10 Mar 2017,Payable Invoice,THE BING SOFTWARE - Bing March,2406,EUR,246.33,0.00,246.33,0.00,"2,705.27"
14 Mar 2017,Spend Money,MAILCHIMP - MailChimp Email Marketing,POS11MAR MAILCHIMP,EUR,105.12,0.00,105.12,0.00,"2,810.39"
16 Mar 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD      324,EUR,6.13,0.00,6.13,0.00,"2,816.52"
21 Mar 2017,Spend Money,CARD - HighRise - CRM,,EUR,45.68,0.00,45.68,0.00,"2,862.20"
21 Mar 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       49,EUR,0.91,0.00,0.91,0.00,"2,863.11"
23 Mar 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       14,EUR,0.26,0.00,0.26,0.00,"2,863.37"
23 Mar 2017,Spend Money,CARD - Zopim - website chat module,,EUR,13.06,0.00,13.06,0.00,"2,876.43"
24 Mar 2017,Spend Money,SOFTWARE - Software / Hosting,POS22MAR ADOBE  CREAT,EUR,30.74,0.00,30.74,0.00,"2,907.17"
24 Mar 2017,Payable Invoice,Blacknight - Linux Minimus Subscription,1000239,EUR,12.18,0.00,12.18,0.00,"2,919.35"
27 Mar 2017,Spend Money,Buffer - Buffer,P2203US 10.00@1.07642,EUR,9.29,0.00,9.29,0.00,"2,928.64"
27 Mar 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       10,EUR,0.19,0.00,0.19,0.00,"2,928.83"
28 Mar 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.56,0.00,0.56,0.00,"2,929.39"
28 Mar 2017,Spend Money,CARD - Xero Subscription - ToutApp Email Software,P2703US 30.00@1.07604,EUR,27.88,0.00,27.88,0.00,"2,957.27"
01 Apr 2017,Payable Invoice,Host.ie - Renew eidschool.ie,7029,EUR,36.89,0.00,36.89,0.00,"2,994.16"
03 Apr 2017,Spend Money,Google - Google Apps GSuite,,EUR,19.99,0.00,19.99,0.00,"3,014.15"
03 Apr 2017,Payable Invoice,THE BING SOFTWARE - BING Software,2471,EUR,246.33,0.00,246.33,0.00,"3,260.48"
04 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        7,EUR,0.13,0.00,0.13,0.00,"3,260.61"
04 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD      199,EUR,3.75,0.00,3.75,0.00,"3,264.36"
04 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.56,0.00,0.56,0.00,"3,264.92"
04 Apr 2017,Spend Money,GitHub - Github Repos,P0204US  7.00@1.06544,EUR,6.57,0.00,6.57,0.00,"3,271.49"
04 Apr 2017,Spend Money,CARD - Xero Subscription - accounting software sub,,EUR,28.12,0.00,28.12,0.00,"3,299.61"
04 Apr 2017,Spend Money,"Sucuri, - Firewall & Website Protection Sub",,EUR,187.43,0.00,187.43,0.00,"3,487.04"
05 Apr 2017,Payable Invoice,FR KELLY - Domain Name Renewal,11050EU00,EUR,187.58,0.00,187.58,0.00,"3,674.62"
10 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       19,EUR,0.38,0.00,0.38,0.00,"3,675.00"
10 Apr 2017,Spend Money,Cazoomi Sync Apps - Sync Apps Recurring Subscription,P0604US 19.98@1.06276,EUR,18.80,0.00,18.80,0.00,"3,693.80"
13 Apr 2017,Spend Money,MAILCHIMP - MailChimp Email Marketing,POS11APR MAILCHIMP,EUR,109.91,0.00,109.91,0.00,"3,803.71"
13 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        1,EUR,0.02,0.00,0.02,0.00,"3,803.73"
13 Apr 2017,Spend Money,MAILCHIMP - MailChimp Email Marketing,POS11APR MAILCHIMP,EUR,8.60,0.00,8.60,0.00,"3,812.33"
18 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD     1875,EUR,11.43,0.00,11.43,0.00,"3,823.76"
19 Apr 2017,Spend Money,SOFTWARE - Software / Hosting,POS15APR LETSHOST.IE,EUR,35.66,0.00,35.66,0.00,"3,859.42"
20 Apr 2017,Spend Money,HighRise - HighRise CRM Software,P1804US 49.00@1.06359,EUR,46.07,0.00,46.07,0.00,"3,905.49"
20 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       49,EUR,0.92,0.00,0.92,0.00,"3,906.41"
25 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       10,EUR,0.19,0.00,0.19,0.00,"3,906.60"
25 Apr 2017,Spend Money,SOFTWARE - Software / Hosting,POS22APR ADOBE  CREAT,EUR,30.74,0.00,30.74,0.00,"3,937.34"
25 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       14,EUR,0.26,0.00,0.26,0.00,"3,937.60"
25 Apr 2017,Spend Money,Buffer - Buffer,P2204US 10.00@1.06837,EUR,9.36,0.00,9.36,0.00,"3,946.96"
25 Apr 2017,Spend Money,Zopim - Zopim Chat Module,P2004US 14.00@1.06788,EUR,13.11,0.00,13.11,0.00,"3,960.07"
28 Apr 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.55,0.00,0.55,0.00,"3,960.62"
28 Apr 2017,Spend Money,CARD - Xero Subscription - ToutApp Email Software,P2704US 30.00@1.08577,EUR,27.63,0.00,27.63,0.00,"3,988.25"
03 May 2017,Spend Money,ToutApp - ToutApp Email Software,P3004US 30.00@1.08577,EUR,27.63,0.00,27.63,0.00,"4,015.88"
03 May 2017,Spend Money,MAILCHIMP - MailChimp Email Marketing,POS28APR MAILCHIMP,EUR,93.09,0.00,93.09,0.00,"4,108.97"
03 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.55,0.00,0.55,0.00,"4,109.52"
03 May 2017,Spend Money,"GoDaddy.com, LLC - Hosting Domains",,EUR,9.35,0.00,9.35,0.00,"4,118.87"
04 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        7,EUR,0.13,0.00,0.13,0.00,"4,119.00"
04 May 2017,Spend Money,CARD - Github - Github Repos,P0205US  7.00@1.08864,EUR,6.43,0.00,6.43,0.00,"4,125.43"
04 May 2017,Spend Money,Google - Google Apps Bus,POS02MAY GOOGLE *SVCS,EUR,82.82,0.00,82.82,0.00,"4,208.25"
04 May 2017,Spend Money,TubePress - youtube syndication software,POS02MAY PAYPAL *TUBE,EUR,37.94,0.00,37.94,0.00,"4,246.19"
05 May 2017,Spend Money,MAILCHIMP - MailChimp Email Marketing,POS03MAY MAILCHIMP,EUR,55.67,0.00,55.67,0.00,"4,301.86"
09 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       19,EUR,0.37,0.00,0.37,0.00,"4,302.23"
09 May 2017,Spend Money,"GoDaddy.com, LLC",,EUR,12.03,0.00,12.03,0.00,"4,314.26"
09 May 2017,Spend Money,"GoDaddy.com, LLC",,EUR,6.14,0.00,6.14,0.00,"4,320.40"
09 May 2017,Spend Money,"GoDaddy.com, LLC",,EUR,74.95,0.00,74.95,0.00,"4,395.35"
09 May 2017,Spend Money,Receipt Bank - Automates Receipts to Bills (Xero),POS05MAY RECEIPT BANK,EUR,12.99,0.00,12.99,0.00,"4,408.34"
09 May 2017,Spend Money,Cazoomi Sync Apps - Sync Apps Recurring Subscription,P0605US 19.98@1.09479,EUR,18.25,0.00,18.25,0.00,"4,426.59"
10 May 2017,Spend Money,"GoDaddy.com, LLC",,EUR,76.26,0.00,76.26,0.00,"4,502.85"
15 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD      197,EUR,3.64,0.00,3.64,0.00,"4,506.49"
16 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD      480,EUR,8.84,0.00,8.84,0.00,"4,515.33"
16 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG GBP        7,EUR,0.19,0.00,0.19,0.00,"4,515.52"
18 May 2017,Spend Money,Spotify - Spotify,POS15MAY PAYPAL *SPOT,EUR,9.99,0.00,9.99,0.00,"4,525.51"
19 May 2017,Spend Money,Blacknight - Blacknight,POS17MAY BLACKNIGHT I,EUR,6.09,0.00,6.09,0.00,"4,531.60"
22 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       49,EUR,0.89,0.00,0.89,0.00,"4,532.49"
22 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting (+FX),,EUR,0.10,0.00,0.10,0.00,"4,532.59"
22 May 2017,Spend Money,HighRise - HighRise CRM Software,P1805US 49.00@1.10734,EUR,44.25,0.00,44.25,0.00,"4,576.84"
22 May 2017,Spend Money,GoDaddy - hosting,POS18MAY PAYPAL *GODA,EUR,9.99,0.00,9.99,0.00,"4,586.83"
23 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       14,EUR,0.25,0.00,0.25,0.00,"4,587.08"
23 May 2017,Spend Money,Zopim - Zopim Chat Module,P2005US 14.00@1.10935,EUR,12.62,0.00,12.62,0.00,"4,599.70"
24 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       10,EUR,0.18,0.00,0.18,0.00,"4,599.88"
24 May 2017,Spend Money,SOFTWARE - Software / Hosting,POS22MAY ADOBE  CREAT,EUR,30.74,0.00,30.74,0.00,"4,630.62"
24 May 2017,Spend Money,Buffer - Buffer,P2205US 10.00@1.11607,EUR,8.96,0.00,8.96,0.00,"4,639.58"
30 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.54,0.00,0.54,0.00,"4,640.12"
30 May 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD      397,EUR,7.12,0.00,7.12,0.00,"4,647.24"
30 May 2017,Spend Money,GoDaddy - hosting,POS28MAY PAYPAL *GODA,EUR,9.11,0.00,9.11,0.00,"4,656.35"
30 May 2017,Spend Money,CARD - Xero Subscription - ToutApp Email Software,P2705US 30.00@1.11607,EUR,26.88,0.00,26.88,0.00,"4,683.23"
01 Jun 2017,Spend Money,ToutApp - ToutApp Email Software,P3005US 30.00@1.11111,EUR,27.00,0.00,27.00,0.00,"4,710.23"
01 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.54,0.00,0.54,0.00,"4,710.77"
02 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.54,0.00,0.54,0.00,"4,711.31"
02 Jun 2017,Spend Money,ToutApp - ToutApp Email Software,P3105US 30.00@1.11648,EUR,26.87,0.00,26.87,0.00,"4,738.18"
06 Jun 2017,Payable Invoice,THE BING SOFTWARE - Bing Software,2585,EUR,299.88,0.00,299.88,0.00,"5,038.06"
06 Jun 2017,Spend Money,Google - Google Apps Bus,POS01JUN GOOGLE *SVCS,EUR,88.56,0.00,88.56,0.00,"5,126.62"
06 Jun 2017,Spend Money,GoDaddy - hosting,POS01JUN PAYPAL *GODA,EUR,14.27,0.00,14.27,0.00,"5,140.89"
07 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        7,EUR,0.13,0.00,0.13,0.00,"5,141.02"
07 Jun 2017,Spend Money,CARD - Github - Github Repos,P0206US  7.00@1.12000,EUR,6.25,0.00,6.25,0.00,"5,147.27"
07 Jun 2017,Spend Money,MAILCHIMP - MailChimp Email Marketing,POS02JUN MAILCHIMP,EUR,90.17,0.00,90.17,0.00,"5,237.44"
07 Jun 2017,Spend Money,SOFTWARE - Software / Hosting Misc,,EUR,0.14,0.00,0.14,0.00,"5,237.58"
08 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       19,EUR,0.36,0.00,0.36,0.00,"5,237.94"
08 Jun 2017,Spend Money,Cazoomi Sync Apps - Sync Apps Recurring Subscription,P0606US 19.98@1.12373,EUR,17.78,0.00,17.78,0.00,"5,255.72"
09 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       54,EUR,0.98,0.00,0.98,0.00,"5,256.70"
09 Jun 2017,Spend Money,Receipt Bank - Automates Receipts to Bills (Xero),POS05JUN RECEIPT BANK,EUR,12.99,0.00,12.99,0.00,"5,269.69"
12 Jun 2017,Spend Money,LastPass - lastpass ,POS08JUN GOOGLE *Last,EUR,13.99,0.00,13.99,0.00,"5,283.68"
12 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,,EUR,0.18,0.00,0.18,0.00,"5,283.86"
12 Jun 2017,Payable Invoice,A2 Hosting - License Ulearn ,310534,EUR,306.14,0.00,306.14,0.00,"5,590.00"
13 Jun 2017,Spend Money,HMA - Hide My Ass Proxy ,POS10JUN PAYPAL *HMA,EUR,72.72,0.00,72.72,0.00,"5,662.72"
14 Jun 2017,Payable Invoice,THE BING SOFTWARE - Bing Software,2529,EUR,246.33,0.00,246.33,0.00,"5,909.05"
15 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD      342,EUR,6.12,0.00,6.12,0.00,"5,915.17"
21 Jun 2017,Spend Money,GoDaddy - Domain renewals,,EUR,62.47,0.00,62.47,0.00,"5,977.64"
23 Jun 2017,Spend Money,Blacknight,,EUR,6.09,0.00,6.09,0.00,"5,983.73"
26 Jun 2017,Spend Money,SOFTWARE - Software / Hosting,POS22JUN ADOBE  CREAT,EUR,30.74,0.00,30.74,0.00,"6,014.47"
26 Jun 2017,Spend Money,Zopim - Zopim Chat Module,P2106US 14.00@1.11376,EUR,12.57,0.00,12.57,0.00,"6,027.04"
26 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       14,EUR,0.25,0.00,0.25,0.00,"6,027.29"
28 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       10,EUR,0.18,0.00,0.18,0.00,"6,027.47"
28 Jun 2017,Spend Money,Buffer - Buffer,P2606US 10.00@1.11731,EUR,8.95,0.00,8.95,0.00,"6,036.42"
29 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       49,EUR,0.88,0.00,0.88,0.00,"6,037.30"
29 Jun 2017,Spend Money,HighRise - HighRise CRM Software,P2706US 49.00@1.11770,EUR,43.84,0.00,43.84,0.00,"6,081.14"
29 Jun 2017,Spend Money,GoDaddy - Hosting,POS27JUN PAYPAL *GODA,EUR,27.04,0.00,27.04,0.00,"6,108.18"
30 Jun 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.53,0.00,0.53,0.00,"6,108.71"
30 Jun 2017,Spend Money,ULearn-Student - Hosting,POS28JUN PAYPAL *GODA,EUR,8.94,0.00,8.94,0.00,"6,117.65"
30 Jun 2017,Spend Money,CARD - Xero Subscription - ToutApp Email Software,P2906US 30.00@1.12909,EUR,26.57,0.00,26.57,0.00,"6,144.22"
04 Jul 2017,Spend Money,CARD - ToutApp - ToutApp Email Software,P3006US 30.00@1.13895,EUR,26.34,0.00,26.34,0.00,"6,170.56"
04 Jul 2017,Spend Money,CARD - Google - Google Apps Bus,POS01JUL GOOGLE *SVCS,EUR,88.56,0.00,88.56,0.00,"6,259.12"
04 Jul 2017,Spend Money,GoDaddy - Hosting,POS01JUL PAYPAL *GODA,EUR,33.44,0.00,33.44,0.00,"6,292.56"
04 Jul 2017,Payable Invoice,"THE BING SOFTWARE - Thebing Plus - School - Gold Package 76,67 € 207,00 €
# Core module
# Class scheduling
# Accommodation matching
# Online registration form
# Insurance
# Pay your providers and contracts
# Extensive CRM
# Attendance and Transcripts
# Mobile Student App
# Extended accounting
# Quotation module
# Report generator
# Complaints
# Support
# Hosting
# Period: 01.06.2017 until 30.06.2017",2647,EUR,246.33,0.00,246.33,0.00,"6,538.89"
04 Jul 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.53,0.00,0.53,0.00,"6,539.42"
05 Jul 2017,Spend Money,CARD - Github - Github Repos,P0307US  7.00@1.13452,EUR,6.17,0.00,6.17,0.00,"6,545.59"
05 Jul 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD        7,EUR,0.12,0.00,0.12,0.00,"6,545.71"
06 Jul 2017,Spend Money,DD - MAILCHIMP - 7500 credits ,MC06039713,EUR,133.66,0.00,133.66,0.00,"6,679.37"
10 Jul 2017,Spend Money,CARD - Cazoomi - Sync Apps Recurring Subscription,P0607US 19.98@1.13265,EUR,17.64,0.00,17.64,0.00,"6,697.01"
10 Jul 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       19,EUR,0.35,0.00,0.35,0.00,"6,697.36"
11 Jul 2017,Payable Invoice,"CK SOLUTIONS - 89074 : Neil Mc Mahon:Wifi Ulearn: : ulearnschool.com Neil Mc
Mahon:Wifi Ulearn:
Configuring new AP wifi - 11 Harcourt Street
Changing network connection - 13 Harcourt Street
Unifi AP Long Range
Netgear GS108 8 port switch
Power plus to bill cabling separate",5347,EUR,738.00,0.00,738.00,0.00,"7,435.36"
13 Jul 2017,Spend Money,GoDaddy - Hosting ,,EUR,49.19,0.00,49.19,0.00,"7,484.55"
13 Jul 2017,Spend Money,GoDaddy - Hosting ,,EUR,33.91,0.00,33.91,0.00,"7,518.46"
13 Jul 2017,Spend Money,CARD - Upwork - Software,137304324,EUR,69.87,0.00,69.87,0.00,"7,588.33"
13 Jul 2017,Spend Money,SOFTWARE - Cloud Software misc,,EUR,22.95,0.00,22.95,0.00,"7,611.28"
14 Jul 2017,Spend Money,GoDaddy - Hosting,,EUR,39.68,0.00,39.68,0.00,"7,650.96"
18 Jul 2017,Spend Money,GoDaddy - Ulearn,,EUR,68.13,0.00,68.13,0.00,"7,719.09"
18 Jul 2017,Spend Money,SOFTWARE - Hosting ,,EUR,254.86,0.00,254.86,0.00,"7,973.95"
19 Jul 2017,Spend Money,Blacknight,,EUR,6.09,0.00,6.09,0.00,"7,980.04"
24 Jul 2017,Spend Money,SOFTWARE - Misc Software / Hosting,,EUR,0.18,0.00,0.18,0.00,"7,980.22"
25 Jul 2017,Spend Money,SOFTWARE - Software / Hosting,POS22JUL ADOBE  CREAT,EUR,30.74,0.00,30.74,0.00,"8,010.96"
25 Jul 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       10,EUR,0.17,0.00,0.17,0.00,"8,011.13"
25 Jul 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       12,EUR,0.22,0.00,0.22,0.00,"8,011.35"
25 Jul 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       14,EUR,0.24,0.00,0.24,0.00,"8,011.59"
25 Jul 2017,Spend Money,Zopim - Zopim Chat Module,P2007US 14.00@1.16182,EUR,12.05,0.00,12.05,0.00,"8,023.64"
25 Jul 2017,Spend Money,Buffer - Buffer,P2207US 10.00@1.16144,EUR,8.61,0.00,8.61,0.00,"8,032.25"
26 Jul 2017,Spend Money,CARD - Xero Subscription - ToutApp Email Software,P2507US 30.00@1.16234,EUR,25.81,0.00,25.81,0.00,"8,058.06"
26 Jul 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       30,EUR,0.52,0.00,0.52,0.00,"8,058.58"
31 Jul 2017,Spend Money,HighRise - HighRise CRM Software,P2707US 49.00@1.16500,EUR,42.06,0.00,42.06,0.00,"8,100.64"
31 Jul 2017,Spend Money,SOFTWARE - Misc Software / Hosting,POS CHG USD       49,EUR,0.84,0.00,0.84,0.00,"8,101.48"
